query,keywords
large public datasets,public
large public datasets£¬anonymized Large sample web server logs£¬.Datasets used for database performance benchmarking,public;anonymized;web server logs;database performance benchmarking
"large , web server logs, anonymized",web server logs;anonymized
dataset about large sample web server logs that have been anonymized,web server logs;anonymized
customer support chat dataset or question answers,customer support chat;question answers
customer support chat or question answer dataset,customer support chat;question answer
"specific customer support chat dataset or question answers dataset, e.g. network support, hardware, software support, ticket remedy chats etc","customer support chat;question answers;network support;hardware, software support;ticket remedy chats"
 customer support chat  or question answers dataset,customer support chat;question answers
"customer support chat dataset or question answers dataset, e.g.  network support, hardware, software support, ticket remedy chats","customer support chat;question answers;network support;hardware, software support;ticket remedy chats"
specific customer support chat dataset or question answers dataset,customer support chat;question answers
specific customer support chat dataset,customer support chat
specific customer support chat dataset or question answers dataset£¬in text format,text;customer support chat;question answers
"customer support chat,  question answer, network support, hardware, software support, ticket remedy chats","customer support;question answer;network support;hardware, software support;ticket remedy chats"
customer support chat dataset or question answers dataset,customer support chat;question answers
dataset of NTIRE Workshop and Challenges @CVPR2018,NTIRE Workshop and Challenges @CVPR2018;NTIRE Workshop and Challenges @CVPR2018
dataset of NTIRE Workshop Challenges @CVPR2018,NTIRE Workshop Challenges @CVPR2018;NTIRE Workshop Challenges @CVPR2018
NTIRE Workshop and Challenges,NTIRE Workshop and Challenges
dataset of NTIRE and @CVPR2018 as the title,NTIRE and @CVPR2018
dataset of NTIRE Workshop and Challenges @CVPR2018 as the title,NTIRE Workshop and Challenges @CVPR2018;NTIRE Workshop and Challenges @CVPR2018
NTIRE Workshop and Challenges @CVPR2018,NTIRE Workshop and Challenges @CVPR2018;NTIRE Workshop and Challenges @CVPR2018
dataset of CVPR2018,CVPR2018
 dataset of NTIRE Workshop and Challenges @CVPR2018 as the title,NTIRE Workshop and Challenges @CVPR2018;NTIRE Workshop and Challenges @CVPR2018
"NTIRE Workshop and Challenges, @CVPR2018","NTIRE Workshop and Challenges, @CVPR2018;NTIRE Workshop and Challenges, @CVPR2018"
NTIRE Workshop and Challenges CVPR2018 as the title dataset,NTIRE Workshop and Challenges CVPR2018;NTIRE Workshop and Challenges CVPR2018
street scenes recordings (images and/or videos) commercial,images;videos;street scenes recordings;commercial
image or video datasets of street scenes recordings,image;video;street scenes recordings
street scenes recordings (images and/or videos) allowing commercial use ,images;videos;street scenes recordings;commercial use
open sourced datasets of street scenes recordings,open sourced;street scenes recordings
"datasets of street scenes recordings (images and/or videos), for computer vision prototypes applied to autonomous cars, lincense commercial use",images;videos;street scenes recordings;commercial use
dataset about street scenes recordings (images and/or videos) allowing commercial use,images;videos;street scenes recordings;commercial use
street scenes recordings datasets,street scenes recordings
 street scenes recordings £¬allowing commercial use ,street scenes recordings;commercial use
"street scenes, images and/or videos, commercial use",images;videos;street scenes;commercial use
"datasets of street scenes recordings ,any allowing commercial use",street scenes recordings;commercial use
"twitter or other social networking sites dataset number of friends, follower",twitter;social networking sites;friends;follower
"social netwroking sites dataset about number of friends, follwer",social netwroking sites;friends;follwer
"Twitter or other social networking sites data that shows the number of friends,follower etc.",Twitter;social networking sites;friends;follower
 social networking sites dataset,social networking sites
"social networking sites  (like twitter) dataset includes the number of friends, follower",social networking sites;twitter;friends;follower
"social networking sites dataset which shows the number of friends, follower",social networking sites;friends;follower
"r twitter or other social networking sites dataset£¬hows the number of friends, follower and such£¬prefer twitter or facebook",twitter;social networking sites;friends;follower;twitter;facebook
" social networking sites,  the number of friends, follower, twitter or facebook",social networking sites;friends;follower;twitter;facebook
social networking sites datasets like twitter,social networking sites;twitter
twitter or other social networking sites dataset,twitter;social networking sites
raw and post-processed digital photographs of people and/or landscapes 10000,digital photographs;10000;raw;post-processed;people;landscapes
"dataset with raw and post-processed digital photographs of people, landscapes",digital photographs;raw;post-processed;people;landscapes
 raw and post-processed digital photographs of people and/or landscapes.,digital photographs;raw;post-processed;people;landscapes
large scale dataset of  raw and post-processed digital photographs of people,digital photographs;raw;post-processed;people
"raw and post-processed digital photographs of people and/or landscapes, images",digital photographs;images;raw;post-processed;people;landscapes
large dataset of raw and post-processed digital photographs of people and/or landscapes,digital photographs;raw;post-processed;people;landscapes
 raw and post-processed digital photographs of people and/or landscapes£¬ 10000 raw images and 10000 post processed images,digital photographs;images;images;10000;10000;raw;post-processed;people;landscapes;raw images;post processed images
"10000 raw images, 10000 post processed images, digital photographs of people and/or landscapes",images;images;digital photographs;10000;10000;raw images;post processed;people;landscapes
datasets of people or landscapes support bucket load of raw and post-processed digital photographs,digital photographs;people;landscapes;raw;post-processed
people and landscapes dataset,people;landscapes
"people gender, number of children and their genders, occupation",people;gender;number of children;genders;occupation
"dataset with people information like gender, number of children and occupation",people;gender;number of children;occupation
"People information with people gender, number of children and their genders, occupation etc ",People;gender;number of children;genders;occupation
people information dataset,people
"datasets with people information include gender, number of children and their genders, occupation",people;gender;number of children;genders;occupation
"dataset of pople,about people gender, number of children and their genders, occupation",pople;gender;number of children;genders;occupation
"with people information£¬ dataset with people gender, number of children and their genders, occupation",people;people;gender;number of children;genders;occupation
"people information people gender, number of children and their genders, occupation",people;people;gender;number of children;genders;occupation
people information datasets for machine learning,people
"datasets with people information , such as people gender, number of children and their genders",people;people;gender;number of children;genders
"Sales Data from company number of clients, amount of money date for each transaction",Sales;company;clients;money;transaction
"sales data from company including number of clients, money the paid and date for transaction",sales;company;clients;money;transaction
Company Sales Data including coverage of the number of clients and the amount of money they paid and  transaction date,Company;Sales;clients;money;transaction
commercial dataset of customer,commercial;customer
"Sales Data from any Company include the number of clients, the amount of money, the date for each transaction",Sales;Company;clients;money;transaction
"Sales Data from any Company,the number of clients, the amount of money,date for each transaction",Sales;Company;clients;money;transaction
"Sales Data from any Company (can be made up)£¬ the number of clients, money paid and the date for transaction",Sales;Company;clients;money;transaction
"Sales Data, Company, number of clients, amount of money they paid, date for each transaction",Sales;Company;clients;money;transaction
"sales datasets contains clients, amount of money and dates",sales;clients;money;dates
dataset about sales from any Company,sales;Company
news opinion articles 1000 url category,1000;news;opinion articles;url;category
dataset of opinion articles at least 1000,1000;opinion articles
 opinion articles labeled by category from major news sources,opinion articles;category;major news
dataset of opinion articles from major news,opinion articles;major news
"opinion articles from major news sources include the content, urls, cateory, at least 1000 examples",1000;opinion articles;major news;content;urls;cateory
"opeds,1000 examples of opinion articles and the content of it from major news sources",1000;opinion articles;content;major news
at least 1000 examples of opinion articles from major news sources£¬content £¬urls  £¬general news articles labeled by category ,1000;opinion articles;content;urls;category
"opinion articles, major news sources, valid urls for each article, news articles labeled by category",opinion articles;major news;urls;category
major news sources datasets contains at least 1000 articles,1000;major news
dataset contains at least 1000 examples of opinion articles ,1000;opinion articles
French dataset word rated for sentiment AFINN,French;sentiment
dataset that each word is rated for sentiment in French,French;sentiment
"french sentimental analysis dataset, each word of which has a numerical sentimental  score.",french;sentimental analysis;sentimental;score
sentimental analysis datasets,sentimental analysis
french sentimental dataset,french;sentimental
"french dataset,each word is rated for sentiment",french;sentiment
each word is rated for sentiment£¬French £¬numerical score for each of the words,French;sentiment;numerical score
"french , sentimental analysis , numerical score, R",french;sentimental analysis;numerical score
datasets in english where each word is rated for sentiment,english;sentiment
a french sentimental analysis  dataset  of in both R and Python,french;sentimental analysis
computer system products least price and specifications,computer system products;price;specifications
dataset for computer system product,computer system product
the price and specifications etc of  computer system products,price;specifications;computer system products
computer system products datasets,computer system products
"datasets for computer system products (laptops, desktops, tablets), include at least price and specifications",computer system products;price;specifications
price and specifications of computer system ,price;specifications;computer system
sample data-sets for computer system products£¬ include at least price and specifications,computer system products;price;specifications
"computer system products, price and specifications",computer system products;price;specifications
computer system products datasets,computer system products
dataset about computer system products,computer system products
Google Web 1T 5-Grams,Google Web 1T 5-Grams;Google Web 1T 5-Grams
large n-gram dictionary dataset,n-gram dictionary
"large ngram dataset like ""Google Web 1T 5-Grams"" ",Google Web 1T 5-Grams;ngram dataset
large scale n-gram datasets,n-gram
"large ngram NLP data collected from the web,  Google Web 1T 5-Grams, free",Google Web 1T 5-Grams;free;ngram;NLP
"n-gram dictionary,free,large",free;n-gram dictionary
"Google Web 1T 5-Grams£¬larger ngram collected from the web,",Google Web 1T 5-Grams;ngram
"n-gram dictionary, large",n-gram dictionary
large NLP datasets for n-gram tranning,NLP;n-gram
large ngram dictionary dataset,ngram dictionary
free data for oil spill detection,free;oil spill detection
oil spill image dataset,image;oil spill
oil spill detection with imageJ,imageJ;oil spill detection
 freely oil spill detection image datasets,freely;image;oil spill detection
" oil spill detection, free ",free;oil spill detection
"free,oil spill detection with imageJ",free;imageJ;oil spill detection
freely available dataset£¬oil spill detection with imageJ,freely;available;imageJ;oil spill detection
"image, oil spill",image;oil spill
freely datasets for oil spill detection,freely;oil spill detection
oil spill detection dataset,oil spill detection
multiple pressure and temperature curves from a single process,curves;pressure;temperature;single process
multiple sensor data points from a single process,sensor;single process
"multiple data points from a single sensor process, such as multiple pressure and temperature curves",curves;single sensor process;pressure;temperature
simulation sensor datasets of industrial machine,simulation sensor;industrial machine
"simulation sensor data for industrial machine, include multiple pressure and temperature curves",simulation sensor;industrial machine;pressure;temperature
multiple data points from a single process,single process
multiple data points from a single process£¬ simulation sensor data £¬multiple pressure and temperature curves,curves;single process;simulation sensor;pressure;temperature
"multiple data points, multiple pressure and temperature curves to use, believable sensor data",curves;pressure;temperature;sensor
simulation sensor datasets,simulation sensor
simulation sensor data for an industrial machine ,simulation sensor;industrial machine
coordinates of the UK NUTS levels name lat/long CSV or Geojson,UK;NUTS levels;CSV;Geojson;coordinates;UK NUTS levels;name;lat;long
dataset including NUTS name and lat/long ,NUTS;NUTS;name;lat;long
the NUTS name and the latitude/longitude that surround the area.,NUTS;NUTS name;latitude;longitude
NUTS datasets contains location and name,NUTS;NUTS;location;name
"coordinates of the UK NUTS levels, include the NUTS name and the lat/long that surround the area",UK;NUTS;NUTS;coordinates;UK NUTS levels;name;lat;long
"NUTS name and the lat/long that surround the area,coordinates,CSV or Geojson",NUTS;CSV;Geojson;NUTS;name;lat;long;coordinates
include the NUTS name and the lat/long that surround the area,NUTS;NUTS;name;lat;long
" coordinates of the UK NUTS, NUTS name and the lat/long, CSV ",UK;NUTS;NUTS;CSV;coordinates;UK NUTS;name;lat;long
NUTS coordinates datasets,NUTS coordinates
dataset  including the NUTS name and the latitude/longitude that surround the area,NUTS;NUTS;name;latitude;longitude
HUST-ASL Dataset hand gesture,HUST-ASL;HUST-ASL
HUST-ASL dataset,HUST-ASL;HUST-ASL
HUST-ASL Dataset ,HUST-ASL;HUST-ASL
HUST-ASL Dataset,HUST-ASL;HUST-ASL
HUST-ASL Dataset,HUST-ASL;HUST-ASL
"HUST-ASL Dataset,hand gesture dataset",HUST-ASL;HUST-ASL
HUST-ASL Dataset,HUST-ASL;HUST-ASL
"HUST-ASL, hand gesture, kinect",HUST-ASL;HUST-ASL
hand gesture dataset aquired with Kinect,hand gesture
HUST-ASL Dataset ,HUST-ASL;HUST-ASL
general datasets about LGBT Americans in CSV or TSV,CSV;TSV;LGBT Americans
LGBT Americans dataset in csv or tsv,csv;tsv;LGBT Americans
general datasets about LGBT Americans,LGBT Americans
 LGBT Americans datasets,LGBT Americans
"datasets about LGBT Americans, CSV or TSV",CSV;TSV;LGBT Americans
"LGBT Americans,CSV or TSV,county or state level",CSV;TSV;LGBT Americans;county;state
general datasets about LGBT Americans£¬CSV or TSV£¬some depth of any sort,CSV;TSV;LGBT Americans
"LGBT Americans, CSV, TSV, county or state level",CSV;TSV;LGBT Americans;county;state
general datasets about LGBT Americans,LGBT Americans
datasets about LGBT Americans,LGBT Americans
user behavior data from video,video;user behavior
dataset including user behavior ,user behavior
user behavior  data,user behavior
user AD behavior datasets,user AD behavior
" video dataset of user behavior,  ""Understanding the Effectiveness of Video Ads: A Measurement Study""",video;user behavior;Measurement Study
"user behavior,A Measurement Study(pdf)",pdf;user behavior;Measurement Study
 includes user behavior£¬A Measurement Study dataset£¬ enterprise videos ,videos;user behavior;Measurement Study;enterprise videos
" Understanding the Effectiveness of Video Ads, Akamai client-side media analytics",Video Ads;media analytics
datasets of understanding video ads includes user behavior,video;video ads;user behavior
Understanding the Effectiveness of Video Ads dataset,
open English NER person location organization feature CoNLL-2003,open;English;CoNLL-2003;NER;person;location;organization;feature;CoNLL-2003
"open English NER dataset for Person, Location, and Organization entities;  English NER features",open;English;English;NER;Person;Location;Organization;NER;features
"open source English NER dataset for Person, Location, and Organization entities and a list of English NER features",open source;English;English;NER;Person;Location;Organization;NER;features
"open sourced English NER dataset for person location, and organization entities",open sourced;English;NER;person;location;organization
"A English NER dataset for Person, Location, and Organization entitiesB);  A list of English NER features;  CoNLL-2003 corpus",English;CoNLL-2003;NER;Person;Location;Organization;NER;features;CoNLL-2003
A list of English NER featuresI have already looked at the CoNLL-2003 corpus,English;CoNLL-2003;NER;CoNLL-2003
"An open source, English NER dataset for Person, Location, and Organization entities",open source;English;NER;Person;Location;Organization
"English NER,  Person, Location, and Organization entities, English NER features, CoNLL-2003 corpus",English;English;CoNLL-2003;NER;Person;Location;Organization;NER;features;CoNLL-2003
"open source, English NER Datasets for Person, Location, and Organization entities",open source;English;NER;Person;Location;Organization
" English NER dataset for Person, Location, and Organization entities,  A list of English NER features",English;English;NER;Person;Location;Organization;NER
public open data neuromarketing and advertisements,public;open;neuromarketing;advertisements
free open dataset on neuromarketing and advertisements,free;open;neuromarketing;advertisements
 open source public data sets on neuromarketing and advertisements,open source;public;neuromarketing;advertisements
"public dataset of neuromarketing, user experience and neuroinformatics",public;neuromarketing;user experience;neuroinformatics
"online marketing dataset include online ads and number of click it had, website index pages with number of visitors",online marketing;online ads;number of click;website index pages;number of visitors
"""online ads and number of click it had"" or ""website index pages with number of visitors""",online ads;number of click;website index pages;number of visitors
 free and open source public data sets on neuromarketing and advertisements,free;open source;public;neuromarketing;advertisements
"neuromarketing, user experience and neuroinformatic, online ads and number of click, website index pages with number of visitors",neuromarketing;user experience;neuroinformatic;online ads;number of click;website index;number of visitors
neuromarketing and advertisements datasets,neuromarketing;advertisements
neuromarketing dataset,neuromarketing
large open government or science data between 2 TB and 5 TB,open;government;science
dataset between 2TB and 5TB,2;5
big and complex  graph dataset with a szie between 2 TB and 5 TB,graph;2;5
big and complex datasets and have a size between 2 TB and 5 TB,2;5
"large, complex graph datasets, size between 2 TB and 5 TB",2;5
" a size between 2 TB and 5 TB,open government or science data",open;2;5;government;science
" some big, complex datasets,have a size between 2 TB and 5 TB",2;5
"2 TB, 5 TB, big, complex graph",graph;2;5
big graph databases which has a size between 2TB and 5TB,graph;2;5
graph databases and the size between 2 TB and 5 TB,graph;2;5
open dataset about gender ethnicity and names,open;gender;ethnicity;names
"dataset about names, gender and ethnicity",names;gender;ethnicity
"name, gender and ethnicity of people",name;gender;ethnicity;people
datasets for gender and ethnicity,gender;ethnicity
"dataset about people, include gender, ethnicity, name",people;gender;ethnicity;name
gender and ethnicity and names,gender;ethnicity;names
" take samples for supervised learning,open datasets ",open;supervised learning
"gender and ethnicity, name",gender;ethnicity;name
classification datasets of gender and ethnicity based on names,classification;gender;ethnicity;names
gender and ethnicity dataset,gender;ethnicity
user relation data in Telecom industry,user relation;Telecom
dataset about social network in telecom industry,social network;telecom
 relationships between users  in Telecom industry,relationships between users;Telecom
datasets for Social Network Analysis ,Social Network
"Social Network in Telecom industry, relationships between users",Social Network;Telecom;relationships between users
relationships between people in Social Network ,relationships between people;Social Network
 analyze some relationships between users,relationships
"relationships between users, Social Network Analysis",relationships;Social Network
social network datasets supports hadoop,social network
 Social Network Analysis dataset,Social Network
annotated data with several emotions from social network twitter,annotated;emotions;social network;twitter
annotated dataset about emotion with several kind,annotated;emotion
"emotion classification dataset with several emtions, which can be or discrete values or continues values.",emotion classification;emtions;discrete values;continues values
dataset with several emotions for emotion classification,emotions;emotion classification
"social network text with multiple emotion labels, from  twitter, Facebook, Myspace",text;social network;emotion;labels;twitter;Facebook;Myspace
text and tag of emotion.More refined annotated ,text;text;tag;emotion;annotated
a dataset with several emotions.discrete  or continues values ,emotions;discrete;continues values
"posts from social media, annotated data, discrete values, continues values",posts;social media;annotated;discrete values;continues values
text emotion classification datasets,emotion classification
emotion classification dataset,emotion classification
Freddy Choi's dataset Text Segmentation,Freddy Choi's dataset;Freddy Choi's dataset;Text Segmentation
Freddy Choi's dataset or something similar for Text Segmentation test,Freddy Choi's dataset;Freddy Choi's dataset;Text Segmentation
 Text Segmentation dataset,Text Segmentation
dataset to test Text Segmentation approach,Text Segmentation
" Text Segmentation,  Freddy Choi's dataset",Freddy Choi's dataset;Text Segmentation;Freddy Choi's dataset
text and text segment,text segment
 test Text Segmentation approach£¬Freddy Choi's dataset,Freddy Choi's dataset;Text Segmentation;Freddy Choi's dataset
" Freddy Choi, Text Segmentation",Freddy Choi;Text Segmentation
text segmentation test datasets,text segmentation
dataset to test Text Segmentation,Text Segmentation
graph structure of S&P500 Companies,graph;S&P500 Companies
dataset that captures graph structure of S&P500 Companies,graph;S&P500 Companies
A data that captures the graph structure of  S&P500 Companies,graph;S&P500 Companies
dataset for S&P500 Companies' graph structure ,graph;S&P500 Companies
" index data for the S&P500 Companies, include the sector they work in, relations",S&P500 Companies;sector;relations
 graph structure of S&P500 Companies,graph;S&P500 Companies
"captures the graph structure of S&P500companies£¬companies as nodes and adding an edge if they are within the same sector, ",graph;S&P500companies
"graph structure of  S&P500 companies, sector, graph structure",graph;graph;S&P500 companies;sector
a dataset captures the graph structure of the S&P500 Companies,graph;S&P500 Companies
dataset captures the graph structure of these companies,graph;companies
real data longitude latitude coordinates distance for nodes of various cities,longitude;latitude;coordinates;distance;cities
real data with longitude and latitude coordinates and distance for cities,longitude;latitude;coordinates;distance;cities
real data with longitude and latitude coordinates as well as distance for nodes of various cities,longitude;latitude;coordinates;distance;cities
dataset with location coordinates and distance for nodes of various cities,location;coordinates;distance;cities
"real data for shortest path problem of various cities, longitude and latitude coordinates, distance, driving times, walking times",cities;longitude;latitude;coordinates;distance;driving times;walking times
"longitude and latitude coordinates as well as distance for nodes of various cities,support Open Street Maps",Open;longitude;latitude;coordinates;distance;cities
"contains information about Driving times, Walking times£¬ Latitude and Longitude£¬Open Street Maps£¬perhapsraw textformat",textformat;Driving times;Walking times;Latitude;Longitude£¬Open
"longitude and latitude coordinates, distance for nodes of various cities, raw text format,  Walking times, Driving times",raw text;longitude;latitude;coordinates;distance;cities;Walking times;Driving times
datasets contains cities' longitude and latitude and distances,cities';longitude;latitude;distances
"dataset contains information about Driving times between nodes, Walking times and the Latitude and Longitude of every single node",Driving times;Walking times;Latitude;Longitude
pharmacy Locations in Chicago area,Chicago;pharmacy Locations
dataset of pharmacy locations in Chicago,Chicago;pharmacy locations
pharmacy Locations in Chicago area,Chicago;pharmacy Locations
dataset of pharmacy Locations in Chicago area.,Chicago;pharmacy Locations
dataset of pharmacy Locations in Chicago area,Chicago;pharmacy Locations
pharmacy Locations in Chicago area,Chicago;pharmacy Locations
pharmacy Locations in Chicago area,Chicago;pharmacy Locations
"pharmacy Locations, Chicago ",Chicago;pharmacy Locations
a dataset of pharmacy Locations in Chicago area,Chicago;pharmacy Locations
dataset of pharmacy Locations in Chicago area,Chicago;pharmacy Locations
outdoor dataset recorded by a flying vehicle (drone),outdoor;flying vehicle;drone
dataset recorded by flying vehicle,flying vehicle
outdoor semantic scene labeling dataset that is recorded by a flying vehicle (drone),outdoor;semantic scene;flying vehicle;drone
dataset for semantic scene labeling,semantic scene
"semantic scene labeling, outdoor dataset that is recorded by a flying vehicle (drone)",semantic scene;outdoor;flying vehicle;drone
outdoor dataset about semantic scene that is recorded by a flying vehicle,outdoor;semantic scene;flying vehicle
semantic scene labeling£¬ outdoor dataset that is recorded by a flying vehicle ,semantic scene;outdoor;flying vehicle
"outdoor , flying vehicle drone,  semantic scene labeling",outdoor;flying vehicle;drone;semantic scene
semantic scene labeling datasets,semantic scene
 outdoor dataset is used for doing semantic scene labeling,outdoor;semantic scene
weekly temperature Anchorage Alaska 5 years April 2009,Anchorage Alaska;5 years;April 2009;weekly;temperature
dataset for weekly temperature measurements for Anchorage Alaska over 5 years beginning in April 2009,Anchorage Alaska;over 5 years;April 2009;weekly;temperature
weekly temperature measurements for Anchorage Alaska over 5 years beginning in April 2009,Anchorage Alaska;over 5 years;April 2009;weekly;temperature
dataset for weekly temperature measurements for Anchorage Alaska over 5 years beginning in April 2009,Anchorage Alaska;over 5 years;April 2009;weekly;temperature
Dataset for weekly temperature measurements of Anchorage Alaska over 5 years  ,Anchorage Alaska;over 5 years;weekly;temperature
weekly temperature measurements for Anchorage Alaska over 5 years beginning in April 2009,Anchorage Alaska;over 5 years;April 2009;weekly;temperature
weekly temperature measurements for Anchorage Alaska over 5 years beginning in April 2009,Anchorage Alaska;over 5 years;April 2009;weekly;temperature
"weekly temperature measurements, Anchorage Alaska, beginning in April 2009, 5 years",Anchorage Alaska;April 2009;5 years;weekly;temperature
weekly temperature measurements datasets,weekly;temperature
Dataset for weekly temperature measurements for Anchorage Alaska over 5 years beginning in April 2009,Anchorage Alaska;over 5 years;April 2009;weekly;temperature
" USA business locations ""name"" ""business type""  ""lat/long""",USA;business locations;name;business type;lat;long
"dataset of businesss locations in USA with name, business type and lat/long",USA;businesss locations;name;business type;lat;long
"American business locations data including ""name,"" ""business type,"" and ""street address""",American;business locations;name;business type;street address
"dataset of business locations in USA, include name, business type, lat/long, sheet address, free or cheap",USA;free;cheap;business locations;name;business type;lat;long;sheet address
free dataset of business location of USA,free;USA;business location
" ""name,"" ""business type,"" and ""lat/long"" ,or ""street address"" of business locations in USA,free or cheap",USA;free;cheap;name;business type;lat;long;street address;business locations
"business locations of the USA£¬""name,"" ""business type,"" and ""lat/long,""£¬""street address""£¬geocode the points£¬free or cheap",USA;free;cheap;business locations;name;business type;lat;long;street address;geocode
"business locations, USA, name, business type, lat/long, street address",USA;business locations;name;business type;lat;long;street address
USA business locations datasets,USA;business locations
"dataset of business locations including ""name"", ""business type"" and ""lat/long""",business locations;name;business type;lat;long
large dataset of tweets having geolocation data (from U.S.),tweets;U.S.;tweets;geolocation
geolocation data of U.S.,U.S.;geolocation
a large dataset of tweets that have geolocation data from the U.S.,tweets;U.S.;tweets;geolocation
 large dataset of tweets that have geolocation data (from the U.S.),tweets;U.S.;tweets;geolocation
 large dataset of tweets contains geolocation data from U.S.,tweets;U.S.;tweets;geolocation
USA tweets that have geolocation data,USA;tweets;tweets;geolocation
large dataset of tweets that have geolocation data (from the U.S.),tweets;U.S.;tweets;geolocation
"geolocation , USA, tweets ",USA;tweets;geolocation;tweets
a large dataset of tweets that have geolocation data,tweets;tweets;geolocation
dataset that have geolocation data,geolocation
avaliable social sciences/economy data following a sigmoidal relationship,avaliable;social sciences;economy;sigmoidal relationship
datasets that follow a sigmoidal relationship,sigmoidal relationship
sigmoidal relationship dataset within social sciences/economy,sigmoidal relationship;social sciences;economy
" social sciences/economy dataset follows a sigmoidal relationship, the money earned/spent",social sciences;economy;sigmoidal relationship;money earned/spent
a sigmoidal relationship social sciences/economy datasets,sigmoidal relationship;social sciences;economy
"social sciences/economy phenomenon, sigmoidal relationship",social sciences;economy;sigmoidal relationship
" preferably within social sciences/economy, with available datasets that follow a sigmoidal relationship",available;social sciences;economy;sigmoidal relationship
"the amount of money earned and spent, social sciences, biological hemical ligand",money earned;spent;social sciences;biological hemical ligand
datasets following a sigmoidal relationship,sigmoidal relationship
datasets that follow a sigmoidal relationship,sigmoidal relationship
global food prices by country historical,food prices;country;historical
dataset about global food prices by country,food prices;country
"(historical) global food prices,  preferably by country",historical;food prices;country
"dataset of global food prices, include country",food prices;country
global food prices dataset  by country,food prices;country
food prices and examine in various country,food prices;country
" global food prices, preferably by country, historical data",food prices;country;historical
"global food prices, country, historical , unemployment rate",food prices;country;historical;unemployment rate
a good dataset of global food prices by country,food prices;country
dataset about global food prices,food prices
"data that contains both numbers and strings (name/address, maybe), around 1000 records",1000;numbers;strings
dataset contaning numbers and strings around 1000 records,1000;numbers;strings
 data that contains both numbers and strings(such as name/address),numbers;strings
"contains both numbers and strings (name/address), around 1000 records",1000;numbers;strings
datasets  contains both numbers and strings ,numbers;strings
name/address£¬ around 1000 records,1000;name;address
"a set of data that contains both numbers and strings  with a decent variety of data, around 1000 records",1000;numbers;strings
"numbers, name/address, decent , 1000 records",1000;numbers;name;address
datasets of numbers and strings around 1000 records,1000;numbers;strings
dataset that contains both numbers and strings ,numbers;strings
"windows software into categories news, music, video player, gaming, software development",windows software;news;music;video player;gaming;software development
dataset that categorizes windows software,windows software
 windows software and their categories,windows software
"dataset about windows software labeled with categories,  like news, music, video player, gaming, software development",windows software;news;music;video player;gaming;software development
 windows software category dataset,windows software
windows software and its categories,windows software
" categorizes many windows software into categories like news, music, video player, gaming, software development etc",windows software ;news;music;video player;gaming;software development
"categorize windows software, news, music, video player, gaming, software development",windows software;news;music;video player;gaming;software development
datasets of windows softwares categorization,windows softwares
"dataset that  categorizes many windows software into categories like news, music, video player, gaming, software development ",windows software;news;music;video player;gaming;software development
specific statistics of England clubs' players shoots goals position,England;statistics;England clubs' players;shoots;goals;position
"dataset for England clubs' players, like number of shoots or goals or position",England;England clubs' players;shoots;goals;position
" England clubs' players' pecific statistics, like number of shoots or goals or position.",England;England clubs' players;shoots;goals;position
"dataset for England clubs' players, include players' specific statistics, e.g. number of shoots or goals or position, historical data",England;England clubs' players;shoots;goals;position;historical
 England clubs' players' dataset,England;England clubs' players
"specific statistics of clubs/league' players,like number of shoots or goals or position",clubs/league' players;shoots;goals;position
dataset for England clubs' players£¬players' specific statistics  Like number of shoots or goals or position,England;England clubs' players;shoots;goals;position
"England clubs' players, specific statistics, number of shoots, goals, position, historical ",England;England clubs' players;shoots;goals;position;historical
dataset for England clubs' players,England;England clubs' players
dataset about England clubs' players,England;England clubs' players
labeled image data indicating pedestrians,image;labeled;pedestrians
labeled dataset about autonomous driving,labeled;autonomous driving
Autonomous Driving that has labels indicating if there is pedestrians in the image or not.,image;Autonomous Driving;labels;pedestrians
"labeled image datasets for Autonomous Driving that contains labels for classification, with pedestrians labels",image;labeled;Autonomous Driving;labels;pedestrians
Autonomous Driving datasets contains label,Autonomous Driving;label
imgae and labels indicating if there is pedestrians in the image or not,imgae;image;labels;pedestrians
has labels indicating if there is pedestrians in the image or not,image;labels;pedestrians
Datasets for Autonomous Driving with classification,Autonomous Driving;classification
Autonomous Driving dataset that contains labels indicating if there is pedestrians in the image or not for classification ,image;Autonomous Driving;labels;pedestrians
"classify pedestrians in a image, labeled",image;pedestrians;labeled
"property length, language, style",length;language;style
e-mail text dataset,text;e-mail
"data that have similar properties with e-mail text, such as length, language, style, etc ",text;e-mail;length;language;style
" e-mail text dataset include length, language, style",text;e-mail;length;language;style
e-mail text dataset with similar properties,text;e-mail
"length, language, style of e-mail text",text;length;language;style;e-mail
"analyzing e-mail text£¬have similar properties, such as length, language, style, etc",text;e-mail;length;language;style
"datasets of email text which has length, language,style information",text;email;length;language;style
dataset about e-mail text that have similar properties with e-mail,text;e-mail;e-mail
"e-mail text, length, language, style",text;e-mail;length;language;style
people's dialogues everyday communication,people's dialogues;communication
dataset with people's dialogues,people's dialogues
"people's dialogues,  everyday communication",people's dialogues
"datasets with people's dialogues, everyday communication, e.g. How are you?Fine, thank you, and how are you?",people's dialogues
people's dialogues' datasets,people's dialogues
" people's dialogues,everyday communication",people's dialogues
with people's dialogues,people's dialogues
datasets with people's dialogues,people's dialogues
dataset about people's dialogues,people's dialogues
everyday communication£¬ people's dialogues,people's dialogues
large dataset star formation rate fraction life planet,star formation rate;fraction;life;planet
"datasets with R*, fp, ne, fl, fi, fc, L",R*;fp;ne;fl;fi;fc;L
 a large dataset that has  various variables about a bunch of galaxies,variables;galaxies
